order_item_id,order_id,product_id,quantity,product_price,discount,discount_rate,sales,profit_ratio,order_item_total,benefit_per_order
180517,77202,1360,1,327.75,13.10999966,0.039999999,327.75,0.289999992,314.6400146,91.25
179254,75939,1360,1,327.75,16.38999939,0.050000001,327.75,-0.800000012,311.3599854,-249.0899963
179253,75938,1360,1,327.75,18.03000069,0.059999999,327.75,-0.800000012,309.7200012,-247.7799988
179252,75937,1360,1,327.75,22.94000053,0.07,327.75,0.079999998,304.8099976,22.86000061
179251,75936,1360,1,327.75,29.5,0.090000004,327.75,0.449999988,298.25,134.2100067
179250,75935,1360,1,327.75,32.77999878,0.100000001,327.75,0.059999999,294.980011,18.57999992
179249,75934,1360,1,327.75,39.33000183,0.119999997,327.75,0.330000013,288.4200134,95.18000031
179248,75933,1360,1,327.75,42.61000061,0.129999995,327.75,0.239999995,285.1400146,68.43000031
179247,75932,1360,1,327.75,49.15999985,0.150000006,327.75,0.479999989,278.5899963,133.7200012
179246,75931,1360,1,327.75,52.43999863,0.159999996,327.75,0.479999989,275.3099976,132.1499939
179245,75930,1360,1,327.75,55.72000122,0.170000002,327.75,0.479999989,272.0299988,130.5800018
179244,75929,1360,1,327.75,59.0,0.180000007,327.75,0.170000002,268.7600098,45.68999863
179243,75928,1360,1,327.75,65.55000305,0.200000003,327.75,0.079999998,262.2000122,21.76000023
179242,75927,1360,1,327.75,81.94000244,0.25,327.75,0.100000001,245.8099976,24.57999992
179241,75926,1360,1,327.75,0.0,0.0,327.75,0.050000001,327.75,16.38999939
179240,75925,1360,1,327.75,3.279999971,0.01,327.75,-0.800000012,324.4700012,-259.5799866
179239,75924,1360,1,327.75,6.559999943,0.02,327.75,-0.769999981,321.2000122,-246.3600006
179238,75923,1360,1,327.75,9.829999924,0.029999999,327.75,0.079999998,317.9200134,23.84000015
179237,75922,1360,1,327.75,13.10999966,0.039999999,327.75,0.330000013,314.6400146,102.2600021
179236,75921,1360,1,327.75,16.38999939,0.050000001,327.75,0.280000001,311.3599854,87.18000031
179235,75920,1360,1,327.75,18.03000069,0.059999999,327.75,0.5,309.7200012,154.8600006
179234,75919,1360,1,327.75,22.94000053,0.07,327.75,0.270000011,304.8099976,82.30000305
179233,75918,1360,1,327.75,29.5,0.090000004,327.75,0.079999998,298.25,22.37000084
179232,75917,1360,1,327.75,32.77999878,0.100000001,327.75,0.059999999,294.980011,17.70000076
